title,drive_fileId,role
Yambat Petrographic Master Data.xlsx,1lG0hZDsnslLbezFCw34bx6f_bZn3YJ4w,master sample table (All sheet = spine; grab & rockchip sheets)
Yambat petrography samples 2022-2024 from Core & grab.xlsx,1y25l1orJYDXQjXNupiht93Wg7Tr17Ste,"working workbook: bichiglel description table, Sheet3, phase sheets, Samples-to-Japan"
Collar_all_combined.csv,1MxtDUzpvCtD9Nbi9IODl8EmXQOLCgvh2,drillhole collars (76 holes) — location authority
Survey_all_YMB.csv,1fqyguCqRGnMgmuTm8pJbuPPmFTo3OMf0,"downhole surveys (1,990 rows) — desurvey input"
Khanlab_petrography_Samples.xlsx,1W3XRRKAl-s3UAJY9ZpEal1rZjToOw0uh,Khanlab assay verification table (hole@depth keyed; context only)
PETRO LIST 2025.xlsx,19_86z6DSb2PMclXSzPuJBTVJwc-U6Ahl,2025 phase-3 sample list (subset of Master All)
Petrograph_2023.xlsx (v3),1hLNU5HcF31MqC9LaTzQ4rn6qFQ1flvB3,2023 sample register — source of tag 40904
Suggested Petro for the Oval 2024.xlsx,1bR-8vDiTDOcK4RclatPAGfHOIj-Y7Rct,AJC/Tony Christie tag<->hole@depth cross-reference
Drillhole Petrograph_2023.xlsx,1gUTrLiQm_mVlDuPpeIpjaHLlXvxgYHvl,2023 register of 50 drill-core petrography determinations (3 labs)
Petrograph_MIRESL20230816_summary.xlsx,1xtXI_avodVIDEyqzPANfOnjWdssdiFPR,MIRESL 2023-08-16 summary: lithofacies/alteration/ore-mineral detail
Петрограф008.docx,1g1XzQNPExltgXYax7dNieSAFGhnFes-_,"Khanlab 2024 Mongolian descriptions, 12 samples (ӨТШ)"
AM_ThinSectionMongolia_Report_2024.pdf,1mNAkW0F0qWUuq2vDpBnjOtZ5oEcfESYj,"ThinSection Mongolia 2024 report, 8 unlocated samples (TS-n/Дээж-n)"
2023-08-06-2 шлиф.pdf,1UONp87cloKEolNq0fNTAcR_WPXKZMaJE,L.Jargal 2023 descriptions of С-1/С-2 (unlocated)
2023-06-20-3 thin sections.pdf,1EkoHRvviZAooeAEkEmwHpM7KmeMZ6ZS8,L.Jargal/Ragnarok 2023 descriptions of tags 40763/40900/40913
Asian Battery Metals March 2025 The Oval Summary Report.pdf,1HQZSTrXY79Q10i0cLzdl1Ug5Zp9POr9z,Crawford 2025 petrographic report — 38 samples (English)
Review of Work on 'The Oval' Ni-CU Target Revised March 2025.pdf,1oLGiwQWcY8r_S9nhTHozPrDgJhzkjzss,Crawford review (context; no per-sample descriptions)
FW_ Petrology - Oval Nickel Project.zip,1n_jRl5VBRsIzcX8KFezy7IznoPbUGIL-,email bundle: Suggested Petro xlsx + assay table + May-2024 review
English Petrographic and Mineragraphic Descriptions. 6.docx,1oaodEQTEk0STZ9sRQ0X9ysVSqs4arRxc,"2024 descriptions, 6 samples (superseded by 41-sample report)"
English Petrographic and Mineragraphic description. 15.docx,1H4Afka4AW1Irumg9EYs2XIw5n2rRa4Ga,"Innova Mineral 2024 descriptions, 15 samples"
English 41 Petrographic and Mineragraphic description.docx,1beJzCAEVfCiPwChYtmCDu0vhlxqy4qAV,"2024 consolidated descriptions, 41 samples"
22 р цооног зассан 14ш.docx,1ogaE3Tl1iDtPXh9h5ZKylOqCqTS58Tvx,OVD22 descriptions (14)
23 р цооног дууссан 9ш.docx,1Hpn_S6ZrXwAI93crIjVJlKaG6QD6qAv-,OVD23 descriptions (9)
24 р цооног зассан 13ш.docx,1IehFzGt7P_1swflmBZWZOxwkH0alPxBT,OVD24 descriptions (13)
25 цооног 10ш.docx,1SkGc5ogH9rFr2AUsZ353aTqoG2OFv4KJ,OVD25 descriptions (10)
26 р цооног 16 ш зассан.docx,1RmOTmYH2cLctQR66cq2a_j8u1PhOTHMk,OVD26 descriptions (16)
27 р цооног 12ш.docx,1vPXAWelQlX_bfjQp1jOqa8xwVMsp91U6,OVD27 descriptions (12)
28 ба 29 р цооног 9ш.docx,1ZwejH5NIjLSqTYBmuRyl5PoCSmgAdsMR,OVD28+OVD29 descriptions (9)
15ш пет-мин бичиглэл. 09.02.docx,17UhBmihR8HYhLMbUo0qz-myjvxNi7G6y,"2025 descriptions, 15 samples (14 unlocated + 43816=OVD009@126.6)"
5 петрографи баттерей (2).docx,1JSiTRfddzTDCi4VRso_BGmQKA_S6WVB7,"2025 descriptions, 5 samples"
Report_ABM 2025.09.09 final.pdf,1el3ET8WvDjbohD0oJyQJ1CU4Lo7h-0-Z,"MUST (ШУТИС) 2025-09-09 report, 22 samples, SEM-EDX"
BayanSair_Drilling Sample Petrography_12 Sample.docx,1XSM2M96NX3-UdzGe8csb3RF95jqecbOD,2026 BS001 descriptions (12)
MS3_Outcrop Sample_Петрографи-минераграфи 4ш.docx,1pdeSCucBLmStH5nrRrOUaMwXzr_KpQK-,2026 MS3 outcrop descriptions (4)
